datevar_d,icnsa
03jan2004,552815
10jan2004,677897
17jan2004,490763
24jan2004,382262
31jan2004,406298
07feb2004,433234
14feb2004,341634
21feb2004,328171
28feb2004,342140
06mar2004,339007
13mar2004,312067
20mar2004,304462
27mar2004,296776
03apr2004,304249
10apr2004,350739
17apr2004,334965
24apr2004,313686
01may2004,283236
08may2004,292754
15may2004,297061
22may2004,293974
29may2004,304067
05jun2004,308229
12jun2004,313930
19jun2004,322481
26jun2004,318746
03jul2004,349920
10jul2004,444531
17jul2004,394372
24jul2004,313225
31jul2004,282128
07aug2004,291611
14aug2004,262936
21aug2004,274433
28aug2004,276308
04sep2004,274930
11sep2004,250568
18sep2004,275846
25sep2004,282729
02oct2004,279591
09oct2004,338711
16oct2004,279846
23oct2004,317573
30oct2004,305546
06nov2004,351404
13nov2004,311901
20nov2004,355954
27nov2004,320690
04dec2004,473570
11dec2004,370604
18dec2004,374749
25dec2004,446699
01jan2005,540927
08jan2005,693776
15jan2005,467862
22jan2005,360583
29jan2005,364704
05feb2005,347391
12feb2005,309290
19feb2005,303814
26feb2005,290776
05mar2005,332067
12mar2005,307061
19mar2005,290719
26mar2005,291378
02apr2005,294994
09apr2005,339709
16apr2005,285657
23apr2005,299891
30apr2005,290824
07may2005,297347
14may2005,275524
21may2005,276761
28may2005,304306
04jun2005,289914
11jun2005,315938
18jun2005,289831
25jun2005,286681
02jul2005,327268
09jul2005,427323
16jul2005,374665
23jul2005,295026
30jul2005,261906
06aug2005,269746
13aug2005,257151
20aug2005,252016
27aug2005,251642
03sep2005,271613
10sep2005,322387
17sep2005,346204
24sep2005,292435
01oct2005,313847
08oct2005,380093
15oct2005,303158
22oct2005,304733
29oct2005,294376
05nov2005,340491
12nov2005,283564
19nov2005,368859
26nov2005,290730
03dec2005,444600
10dec2005,391961
17dec2005,359108
24dec2005,433397
31dec2005,475889
07jan2006,555114
14jan2006,439873
21jan2006,317926
28jan2006,318805
04feb2006,321527
11feb2006,310078
18feb2006,269571
25feb2006,272478
04mar2006,301867
11mar2006,294764
18mar2006,269237
25mar2006,265370
01apr2006,253985
08apr2006,314696
15apr2006,268472
22apr2006,291349
29apr2006,279715
